name,description,min_players,max_players,min_time,max_time,complexity,mechanisms
Spyfall,A party game of deception where one player is a spy trying to figure out the location while others ask questions to identify the spy without revealing too much information.,3,8,15,15,1,"Acting
Communication Limits
Memory
Role Playing
Roles with Asymmetric Information
Targeted Clues
Traitor Game
Voting"
Incan Gold,"A press-your-luck game where players delve deeper into temples to collect treasures, but must decide when to leave before disaster strikes.",3,8,30,30,1,"Move Through Deck
Push Your Luck
Score-and-Reset Game
Simultaneous Action Selection"
Throw Throw Burrito,"A card game that combines the collecting matching sets with dodgeball, where players throw soft foam burritos at each other during special card combinations.",2,6,15,15,1,"Real-Time
Set Collection
Take That"
Love Letter,A quick card game of deduction and risk-taking where players try to deliver their love letter to the princess while preventing others from doing the same.,2,4,15,20,1,"Deduction
Hand Management
Player Elimination
Score-and-Reset Game
Take That"
A Game of Thrones: Hand of the King,,2,4,15,30,1,"Grid Movement
Open Drafting
Set Collection"
Mexican Train,,2,10,20,30,1,Tile Placement
Monopoly Deal,"A fast-paced card game version of Monopoly where players collect properties, charge rent, and steal from other players to be the first to collect three full property sets.",2,6,15,30,1,"Hand Management
Set Collection
Take That"
Sushi Go!,"A card drafting game where players pass cards around the table, trying to create the best combination of sushi dishes for points.",2,5,15,15,1,"Closed Drafting
End Game Bonuses
Hand Management
Set Collection
Simultaneous Action Selection"
Bananagrams,A fast-paced word game where players race to build their own crossword grids using letter tiles.,1,8,15,15,1,"Race
Real-Time
Tile Placement"
Falling: The Goblin Edition,,4,8,5,10,1,Hand Management
Catan Dice Game,,1,4,15,15,1,"Dice Rolling
Paper-and-Pencil
Set Collection
Solo / Solitaire Game"
Uno Boom-O,,2,6,20,20,1,"Hand Management
Player Elimination"
Farkle,"A classic dice game where players roll six dice and bank points, but risk losing them all if they push their luck too far.",2,6,30,30,1,"Dice Rolling
Paper-and-Pencil
Push Your Luck
Re-rolling and Locking
Set Collection"
Rummikub,"A tile-based game combining elements of rummy and mahjong, where players try to be first to play all their numbered tiles in runs or groups.",2,4,45,60,1,"Set Collection
Tile Placement"
Trekking the National Parks,,2,6,30,60,2,"Hand Management
Open Drafting
Point to Point Movement
Set Collection"
Sheriff of Nottingham,"A bluffing and negotiation game where players are merchants trying to bring goods into the city, while one player acts as the Sheriff trying to catch smugglers.",3,5,60,60,2,"Betting and Bluffing
Bribery
Hand Management
Negotiation
Open Drafting
Role Playing
Set Collection"
Splendor,A Renaissance merchant game where players compete to build the most prestigious jewelry business by collecting gems and attracting noble patrons.,2,4,30,30,2,"Contracts
Open Drafting
Race
Set Collection"
Carcassonne,"A tile-laying game where players build a medieval landscape of cities, monasteries, roads, and fields, scoring points for completed features.",2,5,30,45,2,"Area Majority / Influence
Map Addition
Pattern Recognition
Tile Placement"
Planet,,2,4,30,45,2,"Open Drafting
Tile Placement
Turn Order: Progressive"
Abducktion,,2,6,15,30,2,"Hand Management
Pattern Building"
Horticulture,,1,10,15,30,2,ConnectionsPaper-and-Pencil
Next Station: London,,1,4,15,30,2,"Connections
Line Drawing
Network and Route Building
Paper-and-Pencil"
Kingdomino,,2,4,15,30,2,"Open Drafting
Tile Placement
Turn Order: Stat-Based"
Forbidden Island,A cooperative game where players work together as adventurers to collect sacred treasures from a sinking island before it disappears beneath the waves.,2,4,30,30,2,"Action Points
Cooperative Game
Grid Movement
Hand Management
Map Reduction
Modular Board
Pick-up and Deliver
Set Collection
Solo / Solitaire Game
Square Grid
Variable Player Powers"
